,Team,Year,Wins,Losses,Win Percentage,Goals Scored
0,                            Boston Bruins                        ,                            1990                        ,                            44                        ,                            24                        ,                            0.55                        ,                            299                        
1,                            Buffalo Sabres                        ,                            1990                        ,                            31                        ,                            30                        ,                            0.388                        ,                            292                        
2,                            Calgary Flames                        ,                            1990                        ,                            46                        ,                            26                        ,                            0.575                        ,                            344                        
3,                            Chicago Blackhawks                        ,                            1990                        ,                            49                        ,                            23                        ,                            0.613                        ,                            284                        
4,                            Detroit Red Wings                        ,                            1990                        ,                            34                        ,                            38                        ,                            0.425                        ,                            273                        
5,                            Edmonton Oilers                        ,                            1990                        ,                            37                        ,                            37                        ,                            0.463                        ,                            272                        
6,                            Hartford Whalers                        ,                            1990                        ,                            31                        ,                            38                        ,                            0.388                        ,                            238                        
7,                            Los Angeles Kings                        ,                            1990                        ,                            46                        ,                            24                        ,                            0.575                        ,                            340                        
8,                            Minnesota North Stars                        ,                            1990                        ,                            27                        ,                            39                        ,                            0.338                        ,                            256                        
9,                            Montreal Canadiens                        ,                            1990                        ,                            39                        ,                            30                        ,                            0.487                        ,                            273                        
10,                            New Jersey Devils                        ,                            1990                        ,                            32                        ,                            33                        ,                            0.4                        ,                            272                        
11,                            New York Islanders                        ,                            1990                        ,                            25                        ,                            45                        ,                            0.312                        ,                            223                        
12,                            New York Rangers                        ,                            1990                        ,                            36                        ,                            31                        ,                            0.45                        ,                            297                        
13,                            Philadelphia Flyers                        ,                            1990                        ,                            33                        ,                            37                        ,                            0.412                        ,                            252                        
14,                            Pittsburgh Penguins                        ,                            1990                        ,                            41                        ,                            33                        ,                            0.512                        ,                            342                        
15,                            Quebec Nordiques                        ,                            1990                        ,                            16                        ,                            50                        ,                            0.2                        ,                            236                        
16,                            St. Louis Blues                        ,                            1990                        ,                            47                        ,                            22                        ,                            0.588                        ,                            310                        
17,                            Toronto Maple Leafs                        ,                            1990                        ,                            23                        ,                            46                        ,                            0.287                        ,                            241                        
18,                            Vancouver Canucks                        ,                            1990                        ,                            28                        ,                            43                        ,                            0.35                        ,                            243                        
19,                            Washington Capitals                        ,                            1990                        ,                            37                        ,                            36                        ,                            0.463                        ,                            258                        
20,                            Winnipeg Jets                        ,                            1990                        ,                            26                        ,                            43                        ,                            0.325                        ,                            260                        
21,                            Boston Bruins                        ,                            1991                        ,                            36                        ,                            32                        ,                            0.45                        ,                            270                        
22,                            Buffalo Sabres                        ,                            1991                        ,                            31                        ,                            37                        ,                            0.388                        ,                            289                        
23,                            Calgary Flames                        ,                            1991                        ,                            31                        ,                            37                        ,                            0.388                        ,                            296                        
24,                            Chicago Blackhawks                        ,                            1991                        ,                            36                        ,                            29                        ,                            0.45                        ,                            257                        
25,                            Detroit Red Wings                        ,                            1991                        ,                            43                        ,                            25                        ,                            0.537                        ,                            320                        
26,                            Edmonton Oilers                        ,                            1991                        ,                            36                        ,                            34                        ,                            0.45                        ,                            295                        
27,                            Hartford Whalers                        ,                            1991                        ,                            26                        ,                            41                        ,                            0.325                        ,                            247                        
28,                            Los Angeles Kings                        ,                            1991                        ,                            35                        ,                            31                        ,                            0.438                        ,                            287                        
29,                            Minnesota North Stars                        ,                            1991                        ,                            32                        ,                            42                        ,                            0.4                        ,                            246                        
30,                            Montreal Canadiens                        ,                            1991                        ,                            41                        ,                            28                        ,                            0.512                        ,                            267                        
31,                            New Jersey Devils                        ,                            1991                        ,                            38                        ,                            31                        ,                            0.475                        ,                            289                        
32,                            New York Islanders                        ,                            1991                        ,                            34                        ,                            35                        ,                            0.425                        ,                            291                        
33,                            New York Rangers                        ,                            1991                        ,                            50                        ,                            25                        ,                            0.625                        ,                            321                        
34,                            Philadelphia Flyers                        ,                            1991                        ,                            32                        ,                            37                        ,                            0.4                        ,                            252                        
35,                            Pittsburgh Penguins                        ,                            1991                        ,                            39                        ,                            32                        ,                            0.487                        ,                            343                        
36,                            Quebec Nordiques                        ,                            1991                        ,                            20                        ,                            48                        ,                            0.25                        ,                            255                        
37,                            San Jose Sharks                        ,                            1991                        ,                            17                        ,                            58                        ,                            0.212                        ,                            219                        
38,                            St. Louis Blues                        ,                            1991                        ,                            36                        ,                            33                        ,                            0.45                        ,                            279                        
39,                            Toronto Maple Leafs                        ,                            1991                        ,                            30                        ,                            43                        ,                            0.375                        ,                            234                        
40,                            Vancouver Canucks                        ,                            1991                        ,                            42                        ,                            26                        ,                            0.525                        ,                            285                        
41,                            Washington Capitals                        ,                            1991                        ,                            45                        ,                            27                        ,                            0.562                        ,                            330                        
42,                            Winnipeg Jets                        ,                            1991                        ,                            33                        ,                            32                        ,                            0.412                        ,                            251                        
43,                            Boston Bruins                        ,                            1992                        ,                            51                        ,                            26                        ,                            0.607                        ,                            332                        
44,                            Buffalo Sabres                        ,                            1992                        ,                            38                        ,                            36                        ,                            0.452                        ,                            335                        
45,                            Calgary Flames                        ,                            1992                        ,                            43                        ,                            30                        ,                            0.512                        ,                            322                        
46,                            Chicago Blackhawks                        ,                            1992                        ,                            47                        ,                            25                        ,                            0.56                        ,                            279                        
47,                            Detroit Red Wings                        ,                            1992                        ,                            47                        ,                            28                        ,                            0.56                        ,                            369                        
48,                            Edmonton Oilers                        ,                            1992                        ,                            26                        ,                            50                        ,                            0.31                        ,                            242                        
49,                            Hartford Whalers                        ,                            1992                        ,                            26                        ,                            52                        ,                            0.31                        ,                            284                        
50,                            Los Angeles Kings                        ,                            1992                        ,                            39                        ,                            35                        ,                            0.464                        ,                            338                        
51,                            Minnesota North Stars                        ,                            1992                        ,                            36                        ,                            38                        ,                            0.429                        ,                            272                        
52,                            Montreal Canadiens                        ,                            1992                        ,                            48                        ,                            30                        ,                            0.571                        ,                            326                        
53,                            New Jersey Devils                        ,                            1992                        ,                            40                        ,                            37                        ,                            0.476                        ,                            308                        
54,                            New York Islanders                        ,                            1992                        ,                            40                        ,                            37                        ,                            0.476                        ,                            335                        
55,                            New York Rangers                        ,                            1992                        ,                            34                        ,                            39                        ,                            0.405                        ,                            304                        
56,                            Ottawa Senators                        ,                            1992                        ,                            10                        ,                            70                        ,                            0.119                        ,                            202                        
57,                            Philadelphia Flyers                        ,                            1992                        ,                            36                        ,                            37                        ,                            0.429                        ,                            319                        
58,                            Pittsburgh Penguins                        ,                            1992                        ,                            56                        ,                            21                        ,                            0.667                        ,                            367                        
59,                            Quebec Nordiques                        ,                            1992                        ,                            47                        ,                            27                        ,                            0.56                        ,                            351                        
60,                            San Jose Sharks                        ,                            1992                        ,                            11                        ,                            71                        ,                            0.131                        ,                            218                        
61,                            St. Louis Blues                        ,                            1992                        ,                            37                        ,                            36                        ,                            0.44                        ,                            282                        
62,                            Tampa Bay Lightning                        ,                            1992                        ,                            23                        ,                            54                        ,                            0.274                        ,                            245                        
63,                            Toronto Maple Leafs                        ,                            1992                        ,                            44                        ,                            29                        ,                            0.524                        ,                            288                        
64,                            Vancouver Canucks                        ,                            1992                        ,                            46                        ,                            29                        ,                            0.548                        ,                            346                        
65,                            Washington Capitals                        ,                            1992                        ,                            43                        ,                            34                        ,                            0.512                        ,                            325                        
66,                            Winnipeg Jets                        ,                            1992                        ,                            40                        ,                            37                        ,                            0.476                        ,                            322                        
67,                            Mighty Ducks of Anaheim                        ,                            1993                        ,                            33                        ,                            46                        ,                            0.393                        ,                            229                        
68,                            Boston Bruins                        ,                            1993                        ,                            42                        ,                            29                        ,                            0.5                        ,                            289                        
69,                            Buffalo Sabres                        ,                            1993                        ,                            43                        ,                            32                        ,                            0.512                        ,                            282                        
70,                            Calgary Flames                        ,                            1993                        ,                            42                        ,                            29                        ,                            0.5                        ,                            302                        
71,                            Chicago Blackhawks                        ,                            1993                        ,                            39                        ,                            36                        ,                            0.464                        ,                            254                        
72,                            Dallas Stars                        ,                            1993                        ,                            42                        ,                            29                        ,                            0.5                        ,                            286                        
73,                            Detroit Red Wings                        ,                            1993                        ,                            46                        ,                            30                        ,                            0.548                        ,                            356                        
74,                            Edmonton Oilers                        ,                            1993                        ,                            25                        ,                            45                        ,                            0.298                        ,                            261                        
75,                            Florida Panthers                        ,                            1993                        ,                            33                        ,                            34                        ,                            0.393                        ,                            233                        
76,                            Hartford Whalers                        ,                            1993                        ,                            27                        ,                            48                        ,                            0.321                        ,                            227                        
77,                            Los Angeles Kings                        ,                            1993                        ,                            27                        ,                            45                        ,                            0.321                        ,                            294                        
78,                            Montreal Canadiens                        ,                            1993                        ,                            41                        ,                            29                        ,                            0.488                        ,                            283                        
79,                            New Jersey Devils                        ,                            1993                        ,                            47                        ,                            25                        ,                            0.56                        ,                            306                        
80,                            New York Islanders                        ,                            1993                        ,                            36                        ,                            36                        ,                            0.429                        ,                            282                        
81,                            New York Rangers                        ,                            1993                        ,                            52                        ,                            24                        ,                            0.619                        ,                            299                        
82,                            Ottawa Senators                        ,                            1993                        ,                            14                        ,                            61                        ,                            0.167                        ,                            201                        
83,                            Philadelphia Flyers                        ,                            1993                        ,                            35                        ,                            39                        ,                            0.417                        ,                            294                        
84,                            Pittsburgh Penguins                        ,                            1993                        ,                            44                        ,                            27                        ,                            0.524                        ,                            299                        
85,                            Quebec Nordiques                        ,                            1993                        ,                            34                        ,                            42                        ,                            0.405                        ,                            277                        
86,                            San Jose Sharks                        ,                            1993                        ,                            33                        ,                            35                        ,                            0.393                        ,                            252                        
87,                            St. Louis Blues                        ,                            1993                        ,                            40                        ,                            33                        ,                            0.476                        ,                            270                        
88,                            Tampa Bay Lightning                        ,                            1993                        ,                            30                        ,                            43                        ,                            0.357                        ,                            224                        
89,                            Toronto Maple Leafs                        ,                            1993                        ,                            43                        ,                            29                        ,                            0.512                        ,                            280                        
90,                            Vancouver Canucks                        ,                            1993                        ,                            41                        ,                            40                        ,                            0.488                        ,                            279                        
91,                            Washington Capitals                        ,                            1993                        ,                            39                        ,                            35                        ,                            0.464                        ,                            277                        
92,                            Winnipeg Jets                        ,                            1993                        ,                            24                        ,                            51                        ,                            0.286                        ,                            245                        
93,                            Mighty Ducks of Anaheim                        ,                            1994                        ,                            16                        ,                            27                        ,                            0.333                        ,                            125                        
94,                            Boston Bruins                        ,                            1994                        ,                            27                        ,                            18                        ,                            0.562                        ,                            150                        
95,                            Buffalo Sabres                        ,                            1994                        ,                            22                        ,                            19                        ,                            0.458                        ,                            130                        
96,                            Calgary Flames                        ,                            1994                        ,                            24                        ,                            17                        ,                            0.5                        ,                            163                        
97,                            Chicago Blackhawks                        ,                            1994                        ,                            24                        ,                            19                        ,                            0.5                        ,                            156                        
98,                            Dallas Stars                        ,                            1994                        ,                            17                        ,                            23                        ,                            0.354                        ,                            136                        
99,                            Detroit Red Wings                        ,                            1994                        ,                            33                        ,                            11                        ,                            0.688                        ,                            180                        
100,                            Edmonton Oilers                        ,                            1994                        ,                            17                        ,                            27                        ,                            0.354                        ,                            136                        
101,                            Florida Panthers                        ,                            1994                        ,                            20                        ,                            22                        ,                            0.417                        ,                            115                        
102,                            Hartford Whalers                        ,                            1994                        ,                            19                        ,                            24                        ,                            0.396                        ,                            127                        
103,                            Los Angeles Kings                        ,                            1994                        ,                            16                        ,                            23                        ,                            0.333                        ,                            142                        
104,                            Montreal Canadiens                        ,                            1994                        ,                            18                        ,                            23                        ,                            0.375                        ,                            125                        
105,                            New Jersey Devils                        ,                            1994                        ,                            22                        ,                            18                        ,                            0.458                        ,                            136                        
106,                            New York Islanders                        ,                            1994                        ,                            15                        ,                            28                        ,                            0.312                        ,                            126                        
107,                            New York Rangers                        ,                            1994                        ,                            22                        ,                            23                        ,                            0.458                        ,                            139                        
108,                            Ottawa Senators                        ,                            1994                        ,                            9                        ,                            34                        ,                            0.188                        ,                            117                        
109,                            Philadelphia Flyers                        ,                            1994                        ,                            28                        ,                            16                        ,                            0.583                        ,                            150                        
110,                            Pittsburgh Penguins                        ,                            1994                        ,                            29                        ,                            16                        ,                            0.604                        ,                            181                        
111,                            Quebec Nordiques                        ,                            1994                        ,                            30                        ,                            13                        ,                            0.625                        ,                            185                        
112,                            San Jose Sharks                        ,                            1994                        ,                            19                        ,                            25                        ,                            0.396                        ,                            129                        
113,                            St. Louis Blues                        ,                            1994                        ,                            28                        ,                            15                        ,                            0.583                        ,                            178                        
114,                            Tampa Bay Lightning                        ,                            1994                        ,                            17                        ,                            28                        ,                            0.354                        ,                            120                        
115,                            Toronto Maple Leafs                        ,                            1994                        ,                            21                        ,                            19                        ,                            0.438                        ,                            135                        
116,                            Vancouver Canucks                        ,                            1994                        ,                            18                        ,                            18                        ,                            0.375                        ,                            153                        
117,                            Washington Capitals                        ,                            1994                        ,                            22                        ,                            18                        ,                            0.458                        ,                            136                        
118,                            Winnipeg Jets                        ,                            1994                        ,                            16                        ,                            25                        ,                            0.333                        ,                            157                        
119,                            Mighty Ducks of Anaheim                        ,                            1995                        ,                            35                        ,                            39                        ,                            0.427                        ,                            234                        
120,                            Boston Bruins                        ,                            1995                        ,                            40                        ,                            31                        ,                            0.488                        ,                            282                        
121,                            Buffalo Sabres                        ,                            1995                        ,                            33                        ,                            42                        ,                            0.402                        ,                            247                        
122,                            Calgary Flames                        ,                            1995                        ,                            34                        ,                            37                        ,                            0.415                        ,                            241                        
123,                            Chicago Blackhawks                        ,                            1995                        ,                            40                        ,                            28                        ,                            0.488                        ,                            273                        
124,                            Colorado Avalanche                        ,                            1995                        ,                            47                        ,                            25                        ,                            0.573                        ,                            326                        
125,                            Dallas Stars                        ,                            1995                        ,                            26                        ,                            42                        ,                            0.317                        ,                            227                        
126,                            Detroit Red Wings                        ,                            1995                        ,                            62                        ,                            13                        ,                            0.756                        ,                            325                        
127,                            Edmonton Oilers                        ,                            1995                        ,                            30                        ,                            44                        ,                            0.366                        ,                            240                        
